region,name,category,phone,email,gmaps_url,online_presence
Antiparos,NAUTICA coffee & bites - Antiparos,Lodging,6981142374,,https://www.google.com/maps/place/springfield+house/data=!4m7!3m6!1s0x149865ed239a7f23:0x54449f6c0a93dfcb!8m2!3d37.0388854!4d25.0834744!16s%2Fg%2F11rts1j7pr!19sChIJI3-aI-1lmBQRy9-TCmyfRFQ?authuser=0&hl=en&rclk=1,none
Antiparos,Paris Rooms,Holiday apartment rental,6972909591,,https://www.google.com/maps/place/Paris+Rooms/data=!4m7!3m6!1s0x1498658d5e5229b5:0x255012e40ad61686!8m2!3d37.0405595!4d25.083762!16s%2Fg%2F11t7hfkh18!19sChIJtSlSXo1lmBQRhhbWCuQSUCU?authuser=0&hl=en&rclk=1,none
Antiparos,Siroco's Rooms and Studios, Hotels,2284021911,,https://www.google.com/maps/place/Vavanos+Studios/data=!4m10!3m9!1s0x149874f6ca550957:0xb446c665f7ad8911!5m2!4m1!1i2!8m2!3d37.1255302!4d25.2420998!16s%2Fg%2F11xndvg9h!19sChIJVwlVyvZ0mBQREYmt92XGRrQ?authuser=0&hl=en&rclk=1,ota-aggregator
Antiparos,Vassiliki Rooms, Hotels,2284021556,,https://www.google.com/maps/place/Hotel+Madaky/data=!4m10!3m9!1s0x149874f58ee3a417:0xc85f97659c46c03a!5m2!4m1!1i2!8m2!3d37.1238756!4d25.2367628!16s%2Fg%2F1tf8h_7m!19sChIJF6TjjvV0mBQROsBGnGWXX8g?authuser=0&hl=en&rclk=1,ota-aggregator
Antiparos,Windmill Rooms,,6945577023,,https://www.google.com/maps/place/Windmill+Rooms/data=!4m10!3m9!1s0x149865e812a5edbd:0x7444cacc5373e60e!5m2!4m1!1i2!8m2!3d37.0381888!4d25.084089!16s%2Fg%2F113f4kx58!19sChIJve2lEuhlmBQRDuZzU8zKRHQ?authuser=0&hl=en&rclk=1,booking
Antiparos,springfield house,Holiday apartment rental,6970996465,,https://www.google.com/maps/place/Golden+hour+suite/data=!4m7!3m6!1s0x14986500753b09ef:0xa6a2716db816e930!8m2!3d37.0433386!4d25.0764313!16s%2Fg%2F11y656lhf7!19sChIJ7wk7dQBlmBQRMOkWuG1xoqY?authuser=0&hl=en&rclk=1,none
Chios,Aegean Sea Rooms Hotel,,6944152452,,,
Chios,Anais Apartments Chios,,6957566867,,,
Chios,Archontiko Frideriki Chios,Holiday apartment rental,6985703587,,,
Chios,Castro Rooms Chios,Serviced apartment,6977855586,,,
Chios,Chios Downtown Apartments,Holiday apartment rental,6946011339,,,
Chios,Diana Hotel,,2271044180,,,
Chios,Evangelia Apartments,Holiday apartment rental,6948071428,,,
Chios,Fani Rooms,,2271031081,,,
Chios,Fotini Apartments,,2271051057,,,
Chios,Gavrilis Apartments,,6975599505,,,
Chios,Harry&Angel's Apartments,Holiday apartment rental,6942057412,,,
Chios,"Hotel Chios - Χίος, Chios - hotel, hotel room, accommodation, ξενοδοχείο, κατάλυμα",,2271061699,,,
Chios,Karfas sea view apartment,,6937481076,,,
Chios,Maria Rooms,,2271032751,,,
Chios,Muses Rooms Chios,Holiday apartment rental,6973038157,,,
Chios,ROOMS ALEX,Bed & breakfast,6972383223,,,
Chios,Tethys Apartments Chios,Holiday apartment rental,2271303350,,,
Chios,Toulipa Rooms,,6973790582,,,
Chios,Urban Apartments Chios,Holiday apartment rental,6980850134,,,
Chios,Villa Mastiha - Komi Chios,,6987751581,,,
Chios,Vouno Village Apartments,,2271061945,,,
Corfu,.,Holiday apartment rental,6973048804,,https://www.google.com/maps/place/./data=!4m7!3m6!1s0x135b5178c654fd17:0xa12cb1f73ad8da96!8m2!3d39.6751625!4d19.7081527!16s%2Fg%2F11hdvbt4h2!19sChIJF_1UxnhRWxMRltrYOvexLKE?authuser=0&hl=en&rclk=1,none
Corfu,9 Muses Ipsos Corfu, Hotels,6977292182,,https://www.google.com/maps/place/BELLA+DE+LUX+APTS/data=!4m10!3m9!1s0x135b5b6bbd4a21d5:0x28fc2e57460de228!5m2!4m1!1i2!8m2!3d39.6928212!4d19.8359536!16s%2Fg%2F11h3l5ygth!19sChIJ1SFKvWtbWxMRKOINRlcu_Cg?authuser=0&hl=en&rclk=1,facebook
Corfu,ALONI CORFU BENITSES,Holiday apartment rental,6972746610,,https://www.google.com/maps/place/ALONI+CORFU+BENITSES/data=!4m7!3m6!1s0x135b5f0821b5ce95:0xd24c066ac98c4fcb!8m2!3d39.5464387!4d19.9096427!16s%2Fg%2F11hzdp4sql!19sChIJlc61IQhfWxMRy0-MyWoGTNI?authuser=0&hl=en&rclk=1,none
Corfu,Agisilaos Apartments,Holiday apartment rental,6977782787,,https://www.google.com/maps/place/Agisilaos+Apartments/data=!4m7!3m6!1s0x135b5f00420897b1:0xf9541e64f92ebe92!8m2!3d39.6121686!4d19.919243!16s%2Fg%2F11y5by91qx!19sChIJsZcIQgBfWxMRkr4u-WQeVPk?authuser=0&hl=en&rclk=1,instagram
Corfu,Agnes Rooms,,2661094997,,https://www.google.com/maps/place/Agnes+Rooms/data=!4m10!3m9!1s0x135b58e2f641a87b:0x3ce424a4c94398a!5m2!4m1!1i2!8m2!3d39.5917151!4d19.8218565!16s%2Fg%2F11b73hsngw!19sChIJe6hB9uJYWxMRijmUTEpCzgM?authuser=0&hl=en&rclk=1,none
Corfu,Agnes apartments, Hotels,6972484550,,https://www.google.com/maps/place/ELE%C5%8CNAS+bohotel/data=!4m10!3m9!1s0x135c9b1cc1bbfdfb:0xc67d8978aecb1f6f!5m2!4m1!1i2!8m2!3d39.390264!4d20.1058227!16s%2Fg%2F11sv5nskcb!19sChIJ-_27wRybXBMRbx_LrniJfcY?authuser=0&hl=en&rclk=1,booking
Corfu,Agua y Sol,Apartment complex,6979554538,,https://www.google.com/maps/place/Agua+y+Sol/data=!4m7!3m6!1s0x135b4f74e79e67f5:0x7a24a69044768383!8m2!3d39.7824571!4d19.6853021!16s%2Fg%2F11y4vtj0g7!19sChIJ9Wee53RPWxMRg4N2RJCmJHo?authuser=0&hl=en&rclk=1,none
Corfu,Aias Sea View Apartments by La Corfiota Keys,Holiday apartment rental,6980635516,,https://www.google.com/maps/place/Aias+Sea+View+Apartments+by+La+Corfiota+Keys/data=!4m7!3m6!1s0x135b59a6e476c4e9:0x6d17dcc6e6829e2d!8m2!3d39.5483641!4d19.853526!16s%2Fg%2F11w3rwmkf3!19sChIJ6cR25KZZWxMRLZ6C5sbcF20?authuser=0&hl=en&rclk=1,none
Corfu,Akis Rooms,,2661039707,,https://www.google.com/maps/place/maria+corfu+apartments/data=!4m7!3m6!1s0x135c9fae2d767c53:0x19b46436f5b8462!8m2!3d39.4682894!4d19.9499859!16s%2Fg%2F11nfv5g2dr!19sChIJU3x2La6fXBMRYoRbb0NGmwE?authuser=0&hl=en&rclk=1,none
Corfu,Albatross Apartments,,6974164287,,https://www.google.com/maps/place/Albatross+Apartments/data=!4m10!3m9!1s0x135b41a8c90cfe75:0x6e05b2115faf3e3b!5m2!4m1!1i2!8m2!3d39.7874227!4d19.9103744!16s%2Fg%2F11xgsxtnww!19sChIJdf4MyahBWxMROz6vXxGyBW4?authuser=0&hl=en&rclk=1,none
Corfu,Ale and Ana studios,Holiday apartment rental,6943802293,,"https://www.google.com/maps/place/Capitan+Arillas,+Studios+%26+Apartments/data=!4m7!3m6!1s0x135b4d3528e4efb7:0x2f3b55436de156e0!8m2!3d39.7440498!4d19.6492608!16s%2Fg%2F11nxshbv2r!19sChIJt-_kKDVNWxMR4FbhbUNVOy8?authuser=0&hl=en&rclk=1",none
Corfu,Alemar Collective Studios,Holiday apartment,6988341218,,https://www.google.com/maps/place/Alemar+Collective+Studios/data=!4m7!3m6!1s0x135ca79ba10c11f5:0x312e2eeeac2a4d58!8m2!3d39.5470679!4d19.8511457!16s%2Fg%2F11xl_h6v8p!19sChIJ9REMoZunXBMRWE0qrO4uLjE?authuser=0&hl=en&rclk=1,none
Corfu,Alexander Apartments,Holiday apartment,6932143832,,https://www.google.com/maps/place/Alexander+Apartments/data=!4m7!3m6!1s0x135b45d1f4c965ab:0x8fd7f4af8ca55416!8m2!3d39.7870273!4d19.8004866!16s%2Fg%2F11hbvb3w7w!19sChIJq2XJ9NFFWxMRFlSljK_0148?authuser=0&hl=en&rclk=1,ota-aggregator
Corfu,Alexandra's Apartments,Holiday apartment rental,6978039826,,https://www.google.com/maps/place/Alexandra%27s+Apartments/data=!4m7!3m6!1s0x135b4515943518e9:0x2e0c6e8314a37c8b!8m2!3d39.792363!4d19.8061074!16s%2Fg%2F11vwpgwxf2!19sChIJ6Rg1lBVFWxMRi3yjFINuDC4?authuser=0&hl=en&rclk=1,none
Corfu,Alexandra's Home Arillas,Holiday apartment rental,6988938210,,https://www.google.com/maps/place/Alexandra%27s+Home+Arillas/data=!4m7!3m6!1s0x135b4d0ed3595279:0x374dfeb0832787fc!8m2!3d39.7493791!4d19.6501636!16s%2Fg%2F11s6h9_p86!19sChIJeVJZ0w5NWxMR_Icng7D-TTc?authuser=0&hl=en&rclk=1,none
Corfu,Aloe sea view Apartments,Holiday apartment rental,6936768992,,https://www.google.com/maps/place/Aloe+sea+view+Apartments/data=!4m7!3m6!1s0x135b5b23abc90c4d:0x4f9f614526f4da6!8m2!3d39.6842669!4d19.8364156!16s%2Fg%2F11nmlv10gp!19sChIJTQzJqyNbWxMRpk1vUhT2-QQ?authuser=0&hl=en&rclk=1,none
Corfu,Angela studio,Lodging,2661024756,,https://www.google.com/maps/place/Angela+studio/data=!4m7!3m6!1s0x135b511e0c697d03:0xc22d8788b59b5146!8m2!3d39.6771977!4d19.7102797!16s%2Fg%2F11b7hpct0_!19sChIJA31pDB5RWxMRRlGbtYiHLcI?authuser=0&hl=en&rclk=1,none
Corfu,Angela studios and apartments Kassiopi,Holiday apartment rental,6976312100,,https://www.google.com/maps/place/Angela+studios+and+apartments+Kassiopi/data=!4m7!3m6!1s0x135b4192732274ad:0x8297466b611d98bd!8m2!3d39.7872842!4d19.9208982!16s%2Fg%2F11r_c2nk5l!19sChIJrXQic5JBWxMRvZgdYWtGl4I?authuser=0&hl=en&rclk=1,none
Corfu,Angelika House Roda,Holiday apartment,6972929263,,https://www.google.com/maps/place/Angelika+House+Roda/data=!4m7!3m6!1s0x135b451570b5e5ed:0x1a2ade3ef01c907!8m2!3d39.7845506!4d19.7860938!16s%2Fg%2F11vycycjrt!19sChIJ7eW1cBVFWxMRB8kB7-OtogE?authuser=0&hl=en&rclk=1,none
Corfu,Angelos Aparts,Holiday apartment rental,6987384727,,https://www.google.com/maps/place/Angelos+Aparts/data=!4m7!3m6!1s0x135b4d58951b0a8f:0x89d03f9473242c41!8m2!3d39.7471766!4d19.6542388!16s%2Fg%2F11kg_v4562!19sChIJjwoblVhNWxMRQSwkc5Q_0Ik?authuser=0&hl=en&rclk=1,none
Corfu,Anna appartments, Hotels,2663092234,,https://www.google.com/maps/place/Anna+appartments/data=!4m10!3m9!1s0x135b459d3fcc6309:0x33739fdc38eb31ee!5m2!4m1!1i2!8m2!3d39.789398!4d19.8069576!16s%2Fg%2F11hzxjc02h!19sChIJCWPMP51FWxMR7jHrONyfczM?authuser=0&hl=en&rclk=1,none
Corfu,Annex Studios,Hotel,6978665796,,https://www.google.com/maps/place/Annex+Studios/data=!4m7!3m6!1s0x135b5184fbbc0b2d:0xcce023515e89d09!8m2!3d39.6758418!4d19.7119683!16s%2Fg%2F11q976vzdc!19sChIJLQu8-4RRWxMRCZ3oFTUCzgw?authuser=0&hl=en&rclk=1,none
Corfu,Antigone Apartments,Holiday apartment rental,6980710917,,https://www.google.com/maps/place/Antigone+Apartments/data=!4m7!3m6!1s0x135b41b0cf6fde05:0x43466619f65a625a!8m2!3d39.7912132!4d19.9218764!16s%2Fg%2F11js9pjnkq!19sChIJBd5vz7BBWxMRWmJa9hlmRkM?authuser=0&hl=en&rclk=1,booking
Corfu,Antigoni Studios and Apartments, Hotels,2661097090,,https://www.google.com/maps/place/Ipsos+Studios+%26+Apartments/data=!4m10!3m9!1s0x135b5b4580d01a5d:0x3490626d189e6a92!5m2!4m1!1i2!8m2!3d39.7003041!4d19.8395387!16s%2Fg%2F1tj358mx!19sChIJXRrQgEVbWxMRkmqeGG1ikDQ?authuser=0&hl=en&rclk=1,ota-aggregator
Corfu,Antonis apartments,Holiday apartment,6936817220,,https://www.google.com/maps/place/Antonis+apartments/data=!4m7!3m6!1s0x135b41c75cab3ad5:0x5ac9540f34e2ebb6!8m2!3d39.7890704!4d19.9191406!16s%2Fg%2F11sk4f339_!19sChIJ1TqrXMdBWxMRtuviNA9UyVo?authuser=0&hl=en&rclk=1,booking
Corfu,Apart Hotel Blumarin,Holiday apartment,2661053201,,https://www.google.com/maps/place/Apart+Hotel+Blumarin/data=!4m7!3m6!1s0x135ca7550c090da7:0x64c205c162fbce97!8m2!3d39.5472114!4d19.8554473!16s%2Fg%2F11c6cx5_4t!19sChIJpw0JDFWnXBMRl877YsEFwmQ?authuser=0&hl=en&rclk=1,none
Corfu,Apart Makris Sidari - Διαμερίσματα Μακρής Ευστάθιος,Apartments,6976978577,,https://www.google.com/maps/place/Georgia+APARTMENTS/data=!4m7!3m6!1s0x135b4f02b2b720b3:0x5013db63e50cacee!8m2!3d39.7815933!4d19.7115149!16s%2Fg%2F11btww74l9!19sChIJsyC3sgJPWxMR7qwM5WPbE1A?authuser=0&hl=en&rclk=1,none
Corfu,Apartment Old Town of Corfu,Holiday apartment,6938582149,,https://www.google.com/maps/place/Apartment+Old+Town+of+Corfu/data=!4m7!3m6!1s0x135b5ddc8003ad39:0x40f9335632b0a2b9!8m2!3d39.6233851!4d19.9199254!16s%2Fg%2F11fx9mn831!19sChIJOa0DgNxdWxMRuaKwMlYz-UA?authuser=0&hl=en&rclk=1,none
Corfu,Apartments Nausika,,6974466940,,https://www.google.com/maps/place/Apartments+Nausika/data=!4m10!3m9!1s0x135b51f283c5f36f:0xffb901a0d2d77e7!5m2!4m1!1i2!8m2!3d39.72096!4d19.6735228!16s%2Fg%2F11bvv50wy5!19sChIJb_PFg_JRWxMR53ctDRqQ-w8?authuser=0&hl=en&rclk=1,none
Corfu,Apartments in Dassia Corfu - Efi & sofia,,6983823053,,https://www.google.com/maps/place/Apartments+in+Dassia+Corfu+-+Efi+%26+sofia/data=!4m10!3m9!1s0x135b5b6ef9c8d5b9:0xaf3d163737f59fb4!5m2!4m1!1i2!8m2!3d39.6824043!4d19.8388796!16s%2Fg%2F1hf2t49tn!19sChIJudXI-W5bWxMRtJ_1NzcWPa8?authuser=0&hl=en&rclk=1,none
Corfu,Aphrodite Apartments,,2661053388,,https://www.google.com/maps/place/Aphrodite+Apartments/data=!4m10!3m9!1s0x135b58aaa8cad91f:0xa234903341793fb1!5m2!4m1!1i2!8m2!3d39.5483894!4d19.8557661!16s%2Fg%2F1tj5t63m!19sChIJH9nKqKpYWxMRsT95QTOQNKI?authuser=0&hl=en&rclk=1,none
Corfu,Aphrodite Studios, Hotels,2661044300,,https://www.google.com/maps/place/Dimitra%27s+Maisonette/data=!4m10!3m9!1s0x135c9b1fc42b9cfb:0xeb7460240347fc2f!5m2!4m1!1i2!8m2!3d39.38313!4d20.1144!16s%2Fg%2F11w36llnht!19sChIJ-5wrxB-bXBMRL_xHAyRgdOs?authuser=0&hl=en&rclk=1,none
Corfu,Aquarius Beach Hotel, Hotels,6944592272,,https://www.google.com/maps/place/Telis+pension/data=!4m10!3m9!1s0x135ca1c6f25e1bf7:0x7f8cc6322319ca0b!5m2!4m1!1i2!8m2!3d39.4816612!4d19.9298059!16s%2Fg%2F11g9vk7t89!19sChIJ9xte8sahXBMRC8oZIzLGjH8?authuser=0&hl=en&rclk=1,none
Corfu,Aristotelis Apartment Corfu,Holiday apartment rental,6972339569,,https://www.google.com/maps/place/Aristotelis+Apartment+Corfu/data=!4m7!3m6!1s0x135b5f9b265b64c5:0xbcdf93549b19820b!8m2!3d39.60018!4d19.884689!16s%2Fg%2F11q8s2204q!19sChIJxWRbJptfWxMRC4IZm1ST37w?authuser=0&hl=en&rclk=1,facebook
Corfu,Athina Studios,Holiday apartment,6982838056,,https://www.google.com/maps/place/Athina+Studios/data=!4m7!3m6!1s0x135b50ee557f544f:0x1f70a7bb46e549db!8m2!3d39.6773511!4d19.7267016!16s%2Fg%2F11b745tmvx!19sChIJT1R_Ve5QWxMR20nlRruncB8?authuser=0&hl=en&rclk=1,none
Corfu,Atlantica Grand Mediterraneo Resort, Hotels,2661095380,,https://www.google.com/maps/place/THE+LITTLE+PRINCE/data=!4m10!3m9!1s0x135b4ded7592f30b:0x3737235246e73a81!5m2!4m1!1i2!8m2!3d39.75336!4d19.64519!16s%2Fg%2F113drxp4q!19sChIJC_OSde1NWxMRgTrnRlIjNzc?authuser=0&hl=en&rclk=1,ota-aggregator
Corfu,Atlantica Nissaki Beach, Hotels,2663091232,,https://www.google.com/maps/place/Atlantica+Nissaki+Beach/data=!4m10!3m9!1s0x135b42f433e0aa91:0x7b750e05f201b003!5m2!4m1!1i2!8m2!3d39.7319125!4d19.9205841!16s%2Fg%2F11dftkq1w7!19sChIJkargM_RCWxMRA7AB8gUOdXs?authuser=0&hl=en&rclk=1,ota-aggregator
Corfu,Averto Corfu apartments,,6972702754,,https://www.google.com/maps/place/Averto+Corfu+apartments/data=!4m10!3m9!1s0x135b5be8e8b8d825:0x5c82a34839cc10a5!5m2!4m1!1i2!8m2!3d39.6727726!4d19.8393699!16s%2Fg%2F11jpvgtzgl!19sChIJJdi46OhbWxMRpRDMOUijglw?authuser=0&hl=en&rclk=1,ota-aggregator
Corfu,Babis Apartments & Studios Iremia,,6972119214,,https://www.google.com/maps/place/Babis+Apartments+%26+Studios+Iremia/data=!4m10!3m9!1s0x135b4681eeebfd03:0xdf94a01410ee48a9!5m2!4m1!1i2!8m2!3d39.7944648!4d19.811783!16s%2Fg%2F11c529fw90!19sChIJA_3r7oFGWxMRqUjuEBSglN8?authuser=0&hl=en&rclk=1,ota-aggregator
Corfu,Beach Apartments,Holiday apartment rental,6932528280,,https://www.google.com/maps/place/Beach+Apartments/data=!4m7!3m6!1s0x135b5b5274a75451:0xcf3525533f64131d!8m2!3d39.7052661!4d19.8429376!16s%2Fg%2F11dfpr1fx2!19sChIJUVSndFJbWxMRHRNkP1MlNc8?authuser=0&hl=en&rclk=1,none
Corfu,Beach House Viky,Self-catering accommodation,6972094220,,https://www.google.com/maps/place/Beach+House+Viky/data=!4m7!3m6!1s0x135b51669d9ffdb7:0xcab95846ebbfdc62!8m2!3d39.6750502!4d19.7084834!16s%2Fg%2F11p01wcbh8!19sChIJt_2fnWZRWxMRYty_60ZYuco?authuser=0&hl=en&rclk=1,none
Corfu,Belonika House,Lodging,6987675722,,https://www.google.com/maps/place/Belonika+House/data=!4m7!3m6!1s0x135b5f11274daf1b:0xcb7b499cbf0c66b9!8m2!3d39.5389398!4d19.914636!16s%2Fg%2F11jknj50f3!19sChIJG69NJxFfWxMRuWYMv5xJe8s?authuser=0&hl=en&rclk=1,none
Corfu,Belvedere Άγιος Γόρδιος,Apartment building,2661053612,,https://www.google.com/maps/place/Belvedere+%CE%86%CE%B3%CE%B9%CE%BF%CF%82+%CE%93%CF%8C%CF%81%CE%B4%CE%B9%CE%BF%CF%82/data=!4m7!3m6!1s0x135b5f8891ac81fb:0xf0077c6ee69c0c05!8m2!3d39.5520864!4d19.8501335!16s%2Fg%2F1td8npn1!19sChIJ-4GskYhfWxMRBQyc5m58B_A?authuser=0&hl=en&rclk=1,none
Corfu,Blue Diamond Studios,,6945129808,,https://www.google.com/maps/place/Vrachos/data=!4m10!3m9!1s0x135b51c02ea168fb:0xeadd0bf120a499f9!5m2!4m1!1i2!8m2!3d39.7226791!4d19.6652126!16s%2Fg%2F119wklrs5!19sChIJ-2ihLsBRWxMR-ZmkIPEL3eo?authuser=0&hl=en&rclk=1,ota-aggregator
Corfu,Boho boutique Corfu,Holiday apartment rental,6982855785,,https://www.google.com/maps/place/Boho+boutique+Corfu/data=!4m7!3m6!1s0x135b41a58d5adc3f:0x72ab2abf253168c9!8m2!3d39.7903002!4d19.9216331!16s%2Fg%2F11rv7wftgd!19sChIJP9xajaVBWxMRyWgxJb8qq3I?authuser=0&hl=en&rclk=1,none
Corfu,CNic Gemini Hotel, Hotels,2661075211,,https://www.google.com/maps/place/Elena+pool+appartment/data=!4m10!3m9!1s0x135c99ed899551d3:0xde8d05abbace6885!5m2!4m1!1i2!8m2!3d39.4300926!4d19.9528963!16s%2Fg%2F11f8k573g8!19sChIJ01GVie2ZXBMRhWjOuqsFjd4?authuser=0&hl=en&rclk=1,ota-aggregator
Corfu,CORFIOTA APARTMENTS,Holiday apartment rental,6932909306,,https://www.google.com/maps/place/CORFIOTA+APARTMENTS/data=!4m7!3m6!1s0x135b5baf94240847:0x370da9a15f933d99!8m2!3d39.685223!4d19.839243!16s%2Fg%2F11k0zghprm!19sChIJRwgklK9bWxMRmT2TX6GpDTc?authuser=0&hl=en&rclk=1,none
Corfu,Calm sea view apartments,Holiday apartment,6932256447,,https://www.google.com/maps/place/Calm+sea+view+apartments/data=!4m7!3m6!1s0x135ca1e27110b8a3:0x55a04189bfc20ed7!8m2!3d39.4710937!4d19.9382489!16s%2Fg%2F11n9g4wyy9!19sChIJo7gQceKhXBMR1w7Cv4lBoFU?authuser=0&hl=en&rclk=1,none
Corfu,Captain's Apt,Holiday apartment rental,6983644112,,https://www.google.com/maps/place/Captain%27s+Apt/data=!4m7!3m6!1s0x135b4d007a7210d7:0x9bb0888a37c3c1ef!8m2!3d39.7444772!4d19.6538001!16s%2Fg%2F11y47chdds!19sChIJ1xByegBNWxMR78HDN4qIsJs?authuser=0&hl=en&rclk=1,none
